event number,video,camera,year,month,day,hour,actor,receiver,behavior,h.start,min.start,sec.start,duration,observer,which body part most SOCIALLY groomed?,which body part is groomed in the next SELF-grooming event,SELF-grooming is licking or scratching?,"Is the self-groomer the same bat as the social groomer? (yes,no,unsure(u))",comments
1,CH03_2019-06-23_03_01_19__03_09_42.mp4,3,2019,6,23,300,add,cnone,g,3,7,54,42,Jimmy,IW,Arm,,Y,
2,CH03_2019-06-23_03_01_19__03_09_42.mp4,3,2019,6,23,300,cnone,add,g,3,7,55,27,Jimmy,IW,Arm,,Y,
3,CH03_2019-06-23_03_09_42__03_18_04.mp4,3,2019,6,23,300,adldd,ad,g,3,10,13,49,Jimmy,Head,IW,,N,
4,CH03_2019-06-23_03_09_42__03_18_04.mp4,3,2019,6,23,300,adldd,ad,g,3,12,52,60,Jimmy,OW,Thumb,,Y,
5,CH03_2019-06-23_03_09_42__03_18_04.mp4,3,2019,6,23,300,adldd,ad,g,3,14,40,13,Jimmy,UB,Arm,,N,
6,CH03_2019-06-23_03_09_42__03_18_04.mp4,3,2019,6,23,300,adldd,ad,g,3,15,15,55,Jimmy,UB,Arm,,N,
7,CH03_2019-06-23_03_09_42__03_18_04.mp4,3,2019,6,23,300,adldd,ad,g,3,16,58,113,Jimmy,IW,Arm,,N,
8,CH03_2019-06-23_03_18_04__03_26_26.mp4,3,2019,6,23,300,ad,adldd,m,3,20,3,233,Jimmy,Head,Belly,,N,
9,CH03_2019-06-23_01_11_05__01_19_27,3,2019,6,23,100,cnone,cdw,g,1,13,55,23,Jimmy,Head,IW,,N,Two Bat Licking Each Other
10,CH03_2019-06-23_01_11_05__01_19_27,3,2019,6,23,100,cdw,cnone,g,1,14,2,14,Jimmy,UB,IW,,N,
11,CH03_2019-06-23_01_11_05__01_19_27,3,2019,6,23,100,cnone,cdw,g,1,14,25,65,Jimmy,UB,Thumb,,N,
12,CH03_2019-06-23_01_11_05__01_19_27,3,2019,6,23,100,cnone,cdw,g,1,15,37,170,Jimmy,Head,Belly,,N,
13,CH03_2019-06-23_01_11_05__01_19_27,3,2019,6,23,100,cdw,cnone,g,1,15,48,163,Jimmy,Head,Belly,,N,
14,CH03_2019-06-23_01_11_05__01_19_27,3,2019,6,23,100,cldw,cnone,g,1,18,59,149,Jimmy,Head,Thumb,,N,
15,CH03_2019-06-23_01_11_05__01_19_27,3,2019,6,23,100,cnone,cldw,g,1,19,0,148,Jimmy,Head,Thumb,,N,
16,CH03_2019-06-23_01_19_27__01_27_49,3,2019,6,23,100,cldw,cnone,g,1,21,51,384,Jimmy,IW,Arm,,N,
17,CH03_2019-06-23_01_19_27__01_27_49,3,2019,6,23,100,cnone,cldw,g,1,21,51,384,Jimmy,Head,Arm,,N,
18,CH03_2019-06-23_01_27_49__01_36_12,3,2019,6,23,100,cnone,cldw,m,1,28,15,29,Jimmy,Face,IW,,N,
19,CH03_2019-06-23_01_27_49__01_36_12,3,2019,6,23,100,cldw,cnone,m,1,28,15,29,Jimmy,Face,IW,,N,
20,CH02_2019-06-23_09_13_22__09_21_44.mp4,2,2019,6,23,900,ax,adld,g,9,13,59,7,Jimmy,Head,Thumb,,N,
21,CH02_2019-06-23_09_13_22__09_21_44.mp4,2,2019,6,23,900,adld,ax,g,9,14,16,12,Jimmy,IW,Thumb,,N,
22,CH02_2019-06-23_09_13_22__09_21_44.mp4,2,2019,6,23,900,ax,adld,g,9,14,16,12,Jimmy,UB,Thumb,,N,
23,CH02_2019-06-23_09_13_22__09_21_44.mp4,2,2019,6,23,900,ax,adld,g,9,14,57,54,Jimmy,Head,Thumb,,N,
24,CH02_2019-06-23_09_13_22__09_21_44.mp4,2,2019,6,23,900,adld,ax,g,9,14,57,32,Jimmy,OW,Thumb,,Y,
25,CH02_2019-06-23_09_13_22__09_21_44.mp4,2,2019,6,23,900,adld,adldd,g,9,15,30,24,Jimmy,UB,Belly,,N,
26,CH02_2019-06-23_09_13_22__09_21_44.mp4,2,2019,6,23,900,adld,add,g,9,16,24,5,Jimmy,UB,LB,,N,
27,CH02_2019-06-23_09_13_22__09_21_44.mp4,2,2019,6,23,900,adld,add,g,9,16,36,5,Jimmy,IW,Thumb,,N,
